"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"51894","Mert GÃ¼nok","1989-03-01","Turkey","TUR","Turkey","TUR","KarabÃ¼k","KarabÃ¼k, TÃ¼rkiye","32,6193901","41,1110349","Goalkeeper","Fenerbahce Istanbul","SÃ¼per Lig","True"
"353922","Mert MÃ¼ldÃ¼r","1999-04-03","Turkey","TUR","Austria","AUT","Wien","Wien, Austria","16,3725042","48,2083537","Right-Back","Fenerbahce Istanbul","SÃ¼per Lig","True"
"423678","Meschack Elia","1997-08-06","Dem. Rep. Congo","COD","Dem. Rep. Congo","COD","Kinshasa","Kinshasa, Zaire","15,3424196","-4,3196982","Attacking Midfield","Alanyaspor","SÃ¼per Lig","True"
"560423","Meshaal Barsham","1998-02-14","Qatar","QAT","Sudan","SDN","Khartoum","Khartoum, Sudan","32,5349123","15,5635972","Goalkeeper","Al-Sadd SC","Stars League","True"
"81723","Michael Boxall","1988-08-18","New Zealand","NZL","New Zealand","NZL","Auckland","Auckland, New Zealand","174,7631803","-36,852095","Centre-Back","Minnesota United FC","MLS","True"
"120205","Michael Gregoritsch","1994-04-18","Austria","AUT","Austria","AUT","Graz","Graz, Austria","15,4382786","47,0708678","Centre-Forward","FC Augsburg","Bundesliga","True"
"566723","Michael Olise","2001-12-12","France","FRA","England","ENG","London","London, England","-0,1277653","51,5074456","Right Winger","FC Bayern MÃ¼nchen","Bundesliga","True"
"438961","Michael Svoboda","1998-10-15","Austria","AUT","Austria","AUT","Wien","Wien, Austria","16,3725042","48,2083537","Centre-Back","Venezia FC","Serie B","True"
"350347","Michael Woud","1999-01-16","New Zealand","NZL","New Zealand","NZL","Auckland","Auckland, New Zealand","174,7631803","-36,852095","Goalkeeper","Auckland FC","A-League Men","True"
"321204","Michal SadÃ­lek","1999-05-31","Czechia","CZE","Czechia","CZE","UherskÃ© HradiÅ¡tÄ","UherskÃ© HradiÅ¡tÄ, Czech Republic","17,4663899","49,0681018","Central Midfield","SK Slavia Prag","Chance Liga","True"
"237658","Michel Aebischer","1997-01-06","Switzerland","CHE","Switzerland","CHE","Fribourg","Fribourg, Switzerland","7,1027113","46,6789116","Central Midfield","AC Pisa 1909","Serie A","True"
"557459","Micky van de Ven","2001-04-19","Netherlands","NLD","Netherlands","NLD","Wormer","Wormer, Netherlands","4,8123847","52,4983267","Centre-Back","Tottenham Hotspur","Premier League","True"
"272999","Miguel AlmirÃ³n","1994-02-10","Paraguay","PRY","Paraguay","PRY","AsunciÃ³n","AsunciÃ³n, Paraguay","-57,6343814","-25,2800459","Right Winger","Atlanta United FC","MLS","True"
"338424","Mikel Merino","1996-06-22","Spain","ESP","Spain","ESP","Pamplona","Pamplona, Spain","-1,6522353","42,815686","Central Midfield","FC Arsenal","Premier League","True"
"351478","Mikel Oyarzabal","1997-04-21","Spain","ESP","Spain","ESP","Eibar","Eibar, Spain","-2,4732748","43,1842839","Centre-Forward","Real Sociedad San SebastiÃ¡n","LaLiga","True"
"182906","Mike Maignan","1995-07-03","France","FRA","France","FRA","Cayenne","Cayenne, French Guiana","-52,3258736","4,9371544","Goalkeeper","AC Mailand","Serie A","True"
"834397","Mike Penders","2005-07-31","Belgium","BEL","Belgium","BEL","Maasmechelen","Maasmechelen, Belgium","5,6960212","50,9634179","Goalkeeper","RC StraÃburg Alsace","Ligue 1","True"
"333355","Milad Mohammadi","1993-09-29","Iran","IRN","Iran","IRN","Tehran","Tehran, Iran","51,3896004","35,6892523","Left-Back","Persepolis FC","Persian Gulf League","True"
"468022","Miles Robinson","1997-03-14","United States of America","USA","United States of America","USA","Arlington, ...","Arlington, ..., United States","-97,1071186","32,7355816","Centre-Back","FC Cincinnati","MLS","True"
"187353","Milos Degenek","1994-04-28","Australia","AUS","Croatia","HRV","Knin","Knin, Yugoslavia (Republic)","16,199433","44,04085","Centre-Back","APOEL Nikosia","Cyprus League","True"
"503482","Min-jae Kim","1996-11-15","South Korea","KOR","South Korea","KOR","Tongyeong, Gyeongnam","Tongyeong, Gyeongnam, Korea, South","128,433205","34,854254","Centre-Back","FC Bayern MÃ¼nchen","Bundesliga","True"
"298603","Miro Muheim","1998-03-24","Switzerland","CHE","Switzerland","CHE","ZÃ¼rich","ZÃ¼rich, Switzerland","8,5410422","47,3744489","Left-Back","Hamburger SV","Bundesliga","True"
"952692","Mladen Jurkas","2007-10-07","Bosnia and Herz.","BIH","Bosnia and Herz.","BIH","Doboj","Doboj, Bosnia-Herzegovina","18,0850157","44,7324559","Goalkeeper","FK Borac Banja Luka","Premijer Liga BiH","True"
"566025","Mohamed Abdelmonem","1999-02-01","Egypt","EGY","Egypt","EGY","Zagazig","Zagazig, Egypt","31,5035127","30,5853431","Centre-Back","OGC Nizza","Ligue 1","True"
"1307898","Mohamed Alaa","1999-09-01","Egypt","EGY","Egypt","EGY","Cairo","Cairo, Egypt","31,2357257","30,0443879","Goalkeeper","El Gouna FC","Egyptian Premier League","True"
