country_code,country_name,region_code,region_name,reporting_level,year,welfare_type,mean,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
RWA,Rwanda,SSF,Sub-Saharan Africa,rural,1984,consumption,2.652554208912,.288985946701,.044049414886,.05293296865,.061290736882,.069610680149,.078369464631,.088182737421,.100075768345,.116245933654,.143396115303,.245846180078
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2000,consumption,2.399131631063,.485202514198,.020115366819,.032004600585,.040188361914,.048495700207,.057268510624,.068432659294,.082266710942,.102485090023,.140809960257,.407933039335
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2005,consumption,3.108520759521,.520211423075,.017328518234,.028195082042,.036664771842,.044647941359,.053537870183,.063248124469,.077587721459,.098770078653,.141334471693,.438685420068
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2010,consumption,3.304508359145,.472219151074,.022897337957,.033516055909,.041435535335,.049587849521,.058392745245,.068793976619,.082295518486,.102558766116,.142796136574,.397726078238
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2013,consumption,3.522250104298,.451115657827,.024102749143,.035535814969,.044013153489,.05247858442,.061210576619,.071147648974,.084925926874,.10471014718,.142579949681,.379295448651
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2016,consumption,3.504961855241,.437095108215,.024365027813,.035874971073,.044754510191,.053355370519,.062356934602,.073258536624,.08789559182,.10991839787,.151938819211,.356281840276
RWA,Rwanda,SSF,Sub-Saharan Africa,national,2023,consumption,4.895171774429,.393644476498,.030896165549,.042797172653,.050649509271,.058369055229,.066971464679,.077191034265,.089900151036,.107618072808,.141514849084,.334092525427
SDN,Sudan,SSF,Sub-Saharan Africa,national,2009,consumption,7.550668902869,.353953369912,.026394589697,.041834833713,.052743798445,.063777557194,.074954355499,.087864097799,.103726012964,.124974734792,.156897908351,.266832111546
SDN,Sudan,SSF,Sub-Saharan Africa,national,2014,consumption,7.372383612484,.342429421871,.031745517078,.046554412329,.05601400503,.064651670019,.074674991221,.086294228945,.099657234257,.116864968308,.145786868204,.27775610461
SEN,Senegal,SSF,Sub-Saharan Africa,national,1991,consumption,2.553449495537,.540419365642,.013704723667,.021466944625,.030066017832,.039771104755,.051123481881,.065047302427,.083321851277,.110049213829,.158370412318,.427078947389
SEN,Senegal,SSF,Sub-Saharan Africa,national,1994,consumption,2.763094896773,.392451966194,.029012317091,.038870877378,.048436525759,.058187720491,.068652309234,.080570241073,.095231876204,.115477557874,.150199644083,.315360930813
SEN,Senegal,SSF,Sub-Saharan Africa,national,2001,consumption,3.309625983141,.412294355568,.027184754417,.038515442745,.046914338492,.055586037838,.065149801964,.077141589848,.092403565509,.113169032752,.149552761113,.334382675321
SEN,Senegal,SSF,Sub-Saharan Africa,national,2005,consumption,3.739893794895,.39212895437,.024046627152,.038405354822,.04820870268,.058500009601,.069331772925,.082442096877,.098706706026,.123172768244,.156803093288,.300382868385
SEN,Senegal,SSF,Sub-Saharan Africa,national,2011,consumption,3.794679572626,.402743614945,.023110446769,.03757206813,.046775309587,.056719532986,.068499139376,.081116282602,.096471114503,.120540105908,.158773352591,.310422647549
